match_number,date,gender,match_type,teams,team1,team2,team_batting,team_bowling,venue,toss_winner,toss_decision,umpires,batter,bowler,non_striker,over,runs_batter,runs_extras,runs_total,legbyes,byes,no of balls,noballs,wides,player_out,kind,fielders,winner,player_of_match,iswicket_delivery,won_by
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,RR Bose,RV Uthappa,0,0,0,0,0,0,1,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,RR Bose,RV Uthappa,0,0,0,0,0,0,2,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,RR Bose,RV Uthappa,0,4,0,4,0,0,3,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,RR Bose,RV Uthappa,0,0,0,0,0,0,4,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,RR Bose,RV Uthappa,0,0,0,0,0,0,5,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,RR Bose,RV Uthappa,0,2,0,2,0,0,6,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",RV Uthappa,IK Pathan,JD Ryder,1,0,0,0,0,0,1,0,0,RV Uthappa,caught,Yuvraj Singh,Kings XI Punjab,RS Bopara,1,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JH Kallis,IK Pathan,JD Ryder,1,0,0,0,0,0,2,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JH Kallis,IK Pathan,JD Ryder,1,0,0,0,0,0,3,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JH Kallis,IK Pathan,JD Ryder,1,6,0,6,0,0,4,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JH Kallis,IK Pathan,JD Ryder,1,2,0,2,0,0,5,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JH Kallis,IK Pathan,JD Ryder,1,0,0,0,0,0,6,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,RR Bose,JH Kallis,2,4,0,4,0,0,1,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,RR Bose,JH Kallis,2,2,0,2,0,0,2,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,RR Bose,JH Kallis,2,0,0,0,0,0,3,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,RR Bose,JH Kallis,2,4,0,4,0,0,4,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,RR Bose,JH Kallis,2,4,0,4,0,0,5,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,RR Bose,JH Kallis,2,4,0,4,0,0,6,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JH Kallis,YA Abdulla,JD Ryder,3,4,0,4,0,0,1,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JH Kallis,YA Abdulla,JD Ryder,3,1,0,1,0,0,2,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,YA Abdulla,JH Kallis,3,0,0,0,0,0,3,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,YA Abdulla,JH Kallis,3,0,0,0,0,0,4,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,YA Abdulla,JH Kallis,3,1,0,1,0,0,5,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JH Kallis,YA Abdulla,JD Ryder,3,0,1,1,0,0,6,0,1,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JH Kallis,YA Abdulla,JD Ryder,3,0,0,0,0,0,7,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,IK Pathan,JH Kallis,4,0,0,0,0,0,1,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,IK Pathan,JH Kallis,4,4,0,4,0,0,2,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,IK Pathan,JH Kallis,4,0,0,0,0,0,3,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,IK Pathan,JH Kallis,4,0,0,0,0,0,4,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JD Ryder,IK Pathan,JH Kallis,4,3,0,3,0,0,5,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
11,2009-04-24,male,T20,"Royal Challengers Bangalore, Kings XI Punjab",Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,"BR Doctrove, TH Wijewardene",JH Kallis,IK Pathan,JD Ryder,4,1,0,1,0,0,6,0,0,,,,Kings XI Punjab,RS Bopara,0,Wickets
